C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/03/14,22:46:04,001741956364795,MONTHLY_ARCHIVE,001741956364795
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2025/02/01 00:05:00",1,NSW1,20250131241,0,76.00013,0,76.00013,0,0,"2025/02/01 00:00:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1.2,1.2,0,FIRM,76.00013,0.05,0.05,0.1,5,0.01,0.1,0,1.2,124323.20844,177.67626,144.26,236.42552,12550.68703,279.14,1185.97383,232.62014,5160.7023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.63,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:05:00",1,QLD1,20250131241,0,86.83008,0,86.83008,0,0,"2025/02/01 00:00:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1.2,1.2,0,FIRM,86.83008,0.05,0.05,0.1,5,0.01,0.1,0,1.2,147795.56356,177.67626,144.26,236.42552,12550.68703,279.14,1185.97383,232.62014,5160.7023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.63,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:05:00",1,SA1,20250131241,0,66.62575,0,66.62575,0,0,"2025/02/01 00:00:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1.2,1.2,0,FIRM,66.62575,0.05,0.05,0.1,5,0.01,0.1,0,1.2,31262.27228,177.67626,144.26,236.42552,12550.68703,279.14,1185.97383,232.62014,5160.7023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.63,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:05:00",1,TAS1,20250131241,0,130.02847,0,130.02847,0,0,"2025/02/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,7.64,7.64,0,0.01,0.01,0,0.1,0.1,0,0,0,0,3.88,3.88,0,FIRM,130.02847,0.38,0.38,0.1,7.64,0.01,0.1,0,3.88,205560.27975,760.8859,805.45944,240.47552,16294.03798,289.99532,823.39352,94.20155,18690.25822,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.24,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:05:00",1,VIC1,20250131241,0,65.08093,0,65.08093,0,0,"2025/02/01 00:00:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1.2,1.2,0,FIRM,65.08093,0.05,0.05,0.1,5,0.01,0.1,0,1.2,52053.34046,177.67626,144.26,236.42552,12550.68703,279.14,1185.97383,232.62014,5160.7023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.63,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:10:00",1,NSW1,20250131242,0,75.90025,0,75.90025,0,0,"2025/02/01 00:05:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,3.38,3.38,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,1.2,1.2,0,FIRM,75.90025,0.05,0.05,0.1,3.38,0.1,0.39,0.1,1.2,124313.16869,177.62626,144.21,236.42552,12546.07703,279.14,1185.98383,232.72014,5153.4023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.64,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:10:00",1,QLD1,20250131242,0,86.83008,0,86.83008,0,0,"2025/02/01 00:05:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,3.38,3.38,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,1.2,1.2,0,FIRM,86.83008,0.05,0.05,0.1,3.38,0.1,0.39,0.1,1.2,147785.23011,177.62626,144.21,236.42552,12546.07703,279.14,1185.98383,232.72014,5153.4023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.64,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:10:00",1,SA1,20250131242,0,66.02689,0,66.02689,0,0,"2025/02/01 00:05:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,3.38,3.38,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,1.2,1.2,0,FIRM,66.02689,0.05,0.05,0.1,3.38,0.1,0.39,0.1,1.2,31194.98451,177.62626,144.21,236.42552,12546.07703,279.14,1185.98383,232.72014,5153.4023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.64,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:10:00",1,TAS1,20250131242,0,130.02847,0,130.02847,0,0,"2025/02/01 00:05:03",0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,7.64,7.64,0,0.1,0.1,0,0.38,0.38,0,0,0,0,3.88,3.88,0,FIRM,130.02847,0.38,0.38,0.1,7.64,0.1,0.38,0,3.88,205560.22822,761.1659,805.73944,240.47552,16294.49798,289.99532,823.39352,94.20155,18690.83822,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.25,0.06
D,DISPATCH,PRICE,5,"2025/02/01 00:10:00",1,VIC1,20250131242,0,64.46656,0,64.46656,0,0,"2025/02/01 00:05:03",0.05,0.05,0,0.05,0.05,0,0.1,0.1,0,3.38,3.38,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,1.2,1.2,0,FIRM,64.46656,0.05,0.05,0.1,3.38,0.1,0.39,0.1,1.2,51995.04487,177.62626,144.21,236.42552,12546.07703,279.14,1185.98383,232.72014,5153.4023,NOT_OCD,NOT_MII,0.05,0.05,0,0,0,0,0.05,0,311.64,0.06
