C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/01/10,14:27:20,001736483240144,MONTHLY_ARCHIVE,001736483240144
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2024/12/01 00:15:00",1,NSW1,20241130243,0,110.02,0,110.02,0,0,"2024/12/01 00:10:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,7.84,7.84,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,3.59,3.59,0,FIRM,110.02,0.39,0.23,0.23,7.84,0.1,0.39,0.1,3.59,637210.74237,1353.51385,352.99789,416,17274.49833,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.69588,60.09205
D,DISPATCH,PRICE,5,"2024/12/01 00:15:00",1,QLD1,20241130243,0,122.95,0,122.95,0,0,"2024/12/01 00:10:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,7.84,7.84,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,3.59,3.59,0,FIRM,122.95,0.39,0.23,0.23,7.84,0.1,0.39,0.1,3.59,252826.26086,1329.19185,348.57789,409.53,17157.89833,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.69588,60.09205
D,DISPATCH,PRICE,5,"2024/12/01 00:15:00",1,SA1,20241130243,0,108.41685,0,108.41685,0,0,"2024/12/01 00:10:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,7.84,7.84,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,3.59,3.59,0,FIRM,108.41685,0.39,0.23,0.23,7.84,0.1,0.39,0.1,3.59,212185.69012,1353.51385,352.99789,416,17274.49833,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.69588,60.09205
D,DISPATCH,PRICE,5,"2024/12/01 00:15:00",1,TAS1,20241130243,0,98.16,0,98.16,0,0,"2024/12/01 00:10:03",1.11,1.11,0,0.38,0.38,0,0.38,0.38,0,8.66,8.66,0,2.54667,2.54667,0,0.38,0.38,0,0.38,0.38,0,3.98,3.98,0,FIRM,98.16,1.11,0.38,0.38,8.66,2.54667,0.38,0.38,3.98,267373.16582,53077.47867,2479.3926,471.3,26545.60527,1599.32889,735.60481,193.29602,9848.74893,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,7573.89362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:15:00",1,VIC1,20241130243,0,95.07277,0,95.07277,0,0,"2024/12/01 00:10:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,7.84,7.84,0,0.1,0.1,0,0.39,0.39,0,0.1,0.1,0,3.59,3.59,0,FIRM,95.07277,0.39,0.23,0.23,7.84,0.1,0.39,0.1,3.59,247472.64678,1353.51385,352.99789,416,17274.49833,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.69588,60.09205
D,DISPATCH,PRICE,5,"2024/12/01 00:20:00",1,NSW1,20241130244,0,104.5,0,104.5,0,0,"2024/12/01 00:15:03",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,1,1,0,FIRM,104.5,0.38,0.23,0.23,7.99,0.1,0.38,0.1,1,637158.57543,1353.50385,352.99789,416,17265.66139,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.32,7.32,0,0.01,0.01,0,7.32,0.01,8494.69588,60.10205
D,DISPATCH,PRICE,5,"2024/12/01 00:20:00",1,QLD1,20241130244,0,112.69866,0,112.69866,0,0,"2024/12/01 00:15:03",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,1,1,0,FIRM,112.69866,0.38,0.23,0.23,7.99,0.1,0.38,0.1,1,252794.30304,1329.18185,348.57789,409.53,17149.06139,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.32,7.32,0,0.01,0.01,0,7.32,0.01,8494.69588,60.10205
D,DISPATCH,PRICE,5,"2024/12/01 00:20:00",1,SA1,20241130244,0,104.44,0,104.44,0,0,"2024/12/01 00:15:03",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,1,1,0,FIRM,104.44,0.38,0.23,0.23,7.99,0.1,0.38,0.1,1,212130.2588,1353.50385,352.99789,416,17265.66139,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.32,7.32,0,0.01,0.01,0,7.32,0.01,8494.69588,60.10205
D,DISPATCH,PRICE,5,"2024/12/01 00:20:00",1,TAS1,20241130244,0,89.03228,0,89.03228,0,0,"2024/12/01 00:15:03",1.11,1.11,0,3,3,0,0.38,0.38,0,8.66,8.66,0,11.86286,11.86286,0,0.38,0.38,0,0.38,0.38,0,4.98,4.98,0,FIRM,89.03228,1.11,3,0.38,8.66,11.86286,0.38,0.38,4.98,267319.07611,53077.58867,2482.0126,471.45,26545.77527,1611.09175,735.60481,193.57602,9850.34893,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,7566.57362,14.8
D,DISPATCH,PRICE,5,"2024/12/01 00:20:00",1,VIC1,20241130244,0,89.64921,0,89.64921,0,0,"2024/12/01 00:15:03",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,1,1,0,FIRM,89.64921,0.38,0.23,0.23,7.99,0.1,0.38,0.1,1,247412.30599,1353.50385,352.99789,416,17265.66139,520.78018,762.21139,289.68,5891.09328,NOT_OCD,NOT_MII,7.32,7.32,0,0.01,0.01,0,7.32,0.01,8494.69588,60.10205
D,DISPATCH,PRICE,5,"2024/12/01 00:25:00",1,NSW1,20241130245,0,104.89,0,104.89,0,0,"2024/12/01 00:20:04",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,1,1,0,FIRM,104.89,0.38,0.23,0.23,7.99,0.1,0.38,0,1,637094.74676,1353.49385,352.99789,416,17234.65139,520.78018,762.21139,289.68,5890.10328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.60588,60.11205
D,DISPATCH,PRICE,5,"2024/12/01 00:25:00",1,QLD1,20241130245,0,122.95,0,122.95,0,0,"2024/12/01 00:20:04",0.38,0.38,0,0.23,0.23,0,0.23,0.23,0,7.99,7.99,0,0.1,0.1,0,0.38,0.38,0,0,0,0,1,1,0,FIRM,122.95,0.38,0.23,0.23,7.99,0.1,0.38,0,1,252761.31364,1329.17185,348.57789,409.53,17118.05139,520.78018,762.21139,289.68,5890.10328,NOT_OCD,NOT_MII,7.23,7.23,0,0.01,0.01,0,7.23,0.01,8494.60588,60.11205
