C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/02/20,09:43:56,001740008636165,MONTHLY_ARCHIVE,001740008636165
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2025/01/01 00:05:00",1,NSW1,20241231241,0,138.0279,0,138.0279,0,0,"2025/01/01 00:00:03",0.39,0.39,0,0.23,0.23,0,0.24,0.24,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1,1,0,FIRM,138.0279,0.39,0.23,0.24,5,0.01,0.1,0,1,90342.67595,279.46619,188.77232,297.18425,12450.57852,346.54031,1423.53428,255.6999,5313.0711,NOT_OCD,NOT_MII,7.3,7.3,0,0,0,0,7.3,0,1081.51217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:05:00",1,QLD1,20241231241,0,154.30294,0,154.30294,0,0,"2025/01/01 00:00:03",0.39,0.39,0,0.23,0.23,0,0.24,0.24,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1,1,0,FIRM,154.30294,0.39,0.23,0.24,5,0.01,0.1,0,1,107132.90232,279.46619,188.77232,297.18425,12450.57852,346.54031,1423.53428,255.6999,5313.0711,NOT_OCD,NOT_MII,7.3,7.3,0,0,0,0,7.3,0,1081.51217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:05:00",1,SA1,20241231241,0,141.4772,0,141.4772,0,0,"2025/01/01 00:00:03",0.39,0.39,0,0.23,0.23,0,0.24,0.24,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1,1,0,FIRM,141.4772,0.39,0.23,0.24,5,0.01,0.1,0,1,47000.00574,279.46619,188.77232,297.18425,12450.57852,346.54031,1423.53428,255.6999,5313.0711,NOT_OCD,NOT_MII,7.3,7.3,0,0,0,0,7.3,0,1081.51217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:05:00",1,TAS1,20241231241,0,125.17761,0,125.17761,0,0,"2025/01/01 00:00:03",0.39,0.39,0,0.23,0.23,0,0,0,0,6.13,6.13,0,0.38,0.38,0,0.38,0.38,0,0,0,0,2.5,2.5,0,FIRM,125.17761,0.39,0.23,0,6.13,0.38,0.38,0,2.5,113633.84223,1049.0336,718.11805,408.11576,13212.87063,5779.43076,895.1402,77.8599,31231.29925,NOT_OCD,NOT_MII,7.3,7.3,0,0,0,0,7.3,0,972.7838,0.84
D,DISPATCH,PRICE,5,"2025/01/01 00:05:00",1,VIC1,20241231241,0,130,0,130,0,0,"2025/01/01 00:00:03",0.39,0.39,0,0.23,0.23,0,0.24,0.24,0,5,5,0,0.01,0.01,0,0.1,0.1,0,0,0,0,1,1,0,FIRM,130,0.39,0.23,0.24,5,0.01,0.1,0,1,39104.69807,279.46619,188.77232,297.18425,12450.57852,346.54031,1423.53428,255.6999,5313.0711,NOT_OCD,NOT_MII,7.3,7.3,0,0,0,0,7.3,0,1081.51217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:10:00",1,NSW1,20241231242,0,134.41651,0,134.41651,0,0,"2025/01/01 00:05:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,11.05,11.05,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,3.59,3.59,0,FIRM,134.41651,0.39,0.23,0.23,11.05,0.1,0.1,0.1,3.59,90385.33985,279.48619,188.77232,297.18425,12456.16852,346.63031,1423.53428,255.7899,5315.9711,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,1087.97217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:10:00",1,QLD1,20241231242,0,150.4218,0,150.4218,0,0,"2025/01/01 00:05:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,11.05,11.05,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,3.59,3.59,0,FIRM,150.4218,0.39,0.23,0.23,11.05,0.1,0.1,0.1,3.59,107189.49397,279.48619,188.77232,297.18425,12456.16852,346.63031,1423.53428,255.7899,5315.9711,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,1087.97217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:10:00",1,SA1,20241231242,0,136.58563,0,136.58563,0,0,"2025/01/01 00:05:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,11.05,11.05,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,3.59,3.59,0,FIRM,136.58563,0.39,0.23,0.23,11.05,0.1,0.1,0.1,3.59,47041.74406,279.48619,188.77232,297.18425,12456.16852,346.63031,1423.53428,255.7899,5315.9711,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,1087.97217,10.94
D,DISPATCH,PRICE,5,"2025/01/01 00:10:00",1,TAS1,20241231242,0,120.28,0,120.28,0,0,"2025/01/01 00:05:03",0.39,0.39,0,0.23,0.23,0,0,0,0,6.13,6.13,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,3.5,3.5,0,FIRM,120.28,0.39,0.23,0,6.13,0.38,0.38,0.1,3.5,113673.84223,1049.0536,718.11805,407.88576,13211.71958,5779.80076,895.4202,77.9499,31231.80925,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,979.2438,0.84
D,DISPATCH,PRICE,5,"2025/01/01 00:10:00",1,VIC1,20241231242,0,125.5,0,125.5,0,0,"2025/01/01 00:05:03",0.39,0.39,0,0.23,0.23,0,0.23,0.23,0,11.05,11.05,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,3.59,3.59,0,FIRM,125.5,0.39,0.23,0.23,11.05,0.1,0.1,0.1,3.59,39142.03611,279.48619,188.77232,297.18425,12456.16852,346.63031,1423.53428,255.7899,5315.9711,NOT_OCD,NOT_MII,7.32,7.32,0,0,0,0,7.32,0,1087.97217,10.94
