settlementdate,regionid,rrp,totaldemand,netinterchange,demandforecast
2025-01-01 00:05:00,NSW1,138.0279,7251.07,355.87,-28
2025-01-01 00:05:00,QLD1,154.30294,6444.99,-479.22,-42
2025-01-01 00:05:00,SA1,141.4772,1379.47,-378.57,12
2025-01-01 00:05:00,TAS1,125.17761,989.78,-90.71,2
2025-01-01 00:05:00,VIC1,130.0,4339.0,650.55,-4
2025-01-01 00:10:00,NSW1,134.41651,7297.85,307.06,-23
2025-01-01 00:10:00,QLD1,150.4218,6469.55,-466.7,-19
2025-01-01 00:10:00,SA1,136.58563,1367.61,-385.28,7
2025-01-01 00:10:00,TAS1,120.28,991.04,-100.0,0
2025-01-01 00:10:00,VIC1,125.5,4310.79,705.36,-21
2025-01-01 00:15:00,NSW1,135.89,7274.39,323.45,-23
2025-01-01 00:15:00,QLD1,150.07326,6410.01,-409.55,-13
2025-01-01 00:15:00,SA1,142.05217,1379.99,-430.78,6
2025-01-01 00:15:00,TAS1,129.97176,991.23,-108.39,-1
2025-01-01 00:15:00,VIC1,129.0234,4243.74,678.52,-22
2025-01-01 00:20:00,NSW1,120.30552,7173.05,423.75,-26
2025-01-01 00:20:00,QLD1,132.58249,6344.94,-393.68,-13
2025-01-01 00:20:00,SA1,129.64224,1380.91,-466.92,5
2025-01-01 00:20:00,TAS1,118.28,985.66,-136.97,-1
2025-01-01 00:20:00,VIC1,116.96976,4269.83,623.41,-21
2025-01-01 00:25:00,NSW1,119.88874,7140.49,462.43,-32
2025-01-01 00:25:00,QLD1,132.07553,6354.61,-403.26,-17
2025-01-01 00:25:00,SA1,129.51666,1369.41,-487.48,3
2025-01-01 00:25:00,TAS1,118.28,970.26,-143.13,-1
2025-01-01 00:25:00,VIC1,116.49766,4242.11,623.14,-20
2025-01-01 00:30:00,NSW1,121.87,7162.36,437.96,-35
2025-01-01 00:30:00,QLD1,133.38034,6308.87,-361.74,-16
2025-01-01 00:30:00,SA1,134.71659,1379.09,-546.88,0
2025-01-01 00:30:00,TAS1,118.28,974.7,-113.55,-1
2025-01-01 00:30:00,VIC1,119.44363,4217.03,638.49,-18
2025-01-01 00:35:00,NSW1,111.65192,7078.85,514.49,-37
2025-01-01 00:35:00,QLD1,122.95,6353.95,-398.76,-18
2025-01-01 00:35:00,SA1,122.94654,1364.22,-510.68,-2
2025-01-01 00:35:00,TAS1,113.22956,982.2,-182.56,-2
2025-01-01 00:35:00,VIC1,110.18153,4194.26,630.99,-18
2025-01-01 00:40:00,NSW1,119.04851,7051.56,515.22,-34
2025-01-01 00:40:00,QLD1,129.42258,6310.83,-338.67,-18
2025-01-01 00:40:00,SA1,134.265,1390.67,-567.16,0
2025-01-01 00:40:00,TAS1,120.28,983.62,-143.07,-1
2025-01-01 00:40:00,VIC1,118.57675,4196.62,587.45,-15
2025-01-01 00:45:00,NSW1,119.49351,7029.33,514.63,-35
2025-01-01 00:45:00,QLD1,129.06221,6291.47,-321.6,-16
2025-01-01 00:45:00,SA1,135.8589,1392.95,-595.67,-1
2025-01-01 00:45:00,TAS1,120.28,982.27,-126.84,-1
2025-01-01 00:45:00,VIC1,119.08086,4160.17,585.53,-17
2025-01-01 00:50:00,NSW1,115.95158,6941.93,594.44,-37
2025-01-01 00:50:00,QLD1,125.13422,6285.77,-321.53,-15
2025-01-01 00:50:00,SA1,134.18729,1391.86,-613.65,-2
2025-01-01 00:50:00,TAS1,119.28,979.44,-165.97,-1
2025-01-01 00:50:00,VIC1,117.28982,4158.5,565.55,-17
2025-01-01 00:55:00,NSW1,128.51108,6962.78,559.3,-38
2025-01-01 00:55:00,QLD1,138.67635,6274.68,-301.57,-16
2025-01-01 00:55:00,SA1,149.7363,1397.91,-646.29,-3
2025-01-01 00:55:00,TAS1,122.60369,976.86,-99.22,-2
2025-01-01 00:55:00,VIC1,130.0,4155.03,548.7,-18
2025-01-01 01:00:00,NSW1,116.72427,6970.56,542.96,-36
2025-01-01 01:00:00,QLD1,124.2845,6196.03,-235.99,-13
2025-01-01 01:00:00,SA1,137.8,1412.06,-659.36,-3
2025-01-01 01:00:00,TAS1,120.28,971.28,-130.0,-2
2025-01-01 01:00:00,VIC1,119.10128,4127.38,542.53,-19
2025-01-01 01:05:00,NSW1,116.33505,6949.87,551.06,-33
2025-01-01 01:05:00,QLD1,123.10438,6195.0,-225.84,-12
2025-01-01 01:05:00,SA1,137.80534,1400.86,-679.6,-4
2025-01-01 01:05:00,TAS1,120.28,977.2,-146.34,-2
2025-01-01 01:05:00,VIC1,118.62578,4102.84,563.74,-19
2025-01-01 01:10:00,NSW1,109.74,6960.56,530.71,-29
2025-01-01 01:10:00,QLD1,115.28335,6125.33,-170.28,-14
2025-01-01 01:10:00,SA1,140.53788,1400.32,-682.29,-3
2025-01-01 01:10:00,TAS1,120.28,979.61,-125.22,-2
2025-01-01 01:10:00,VIC1,119.19916,4124.8,507.99,-20
2025-01-01 01:15:00,NSW1,107.54,6899.02,556.83,-27
2025-01-01 01:15:00,QLD1,113.69276,6165.23,-225.67,-15
2025-01-01 01:15:00,SA1,126.75638,1382.17,-661.44,-4
2025-01-01 01:15:00,TAS1,111.20585,979.08,-155.29,-2
2025-01-01 01:15:00,VIC1,109.60906,4088.19,545.37,-20
2025-01-01 01:20:00,NSW1,117.08646,6807.22,655.75,-26
2025-01-01 01:20:00,QLD1,126.20151,6283.96,-334.01,-12
